id,name,reason
0125,こめ　［水稲穀粒］　赤米,inedible
0126,こめ　［水稲穀粒］　黒米,inedible
0159,こめ　［うるち米製品］　アルファ化米　学校給食用強化品,rare
0178,こめ　［その他］　米ぬか,rare
0267,＜でん粉・でん粉製品＞　（でん粉製品）　タピオカパール　乾,inedible
0291,（でん粉糖類）　還元麦芽糖,rare
0306,あずき　全粒　乾,inedible
0322,えんどう　全粒　赤えんどう　乾,inedible
0327,ささげ　全粒　乾,inedible
0329,そらまめ　全粒　乾,
0334,だいず　［全粒・全粒製品］　全粒　青大豆　国産　乾,inedible
0336,だいず　［全粒・全粒製品］　全粒　黄大豆　国産　乾,inedible
0338,だいず　［全粒・全粒製品］　全粒　黄大豆　米国産　乾,inedible
0339,だいず　［全粒・全粒製品］　全粒　黄大豆　中国産　乾,inedible
0341,だいず　［全粒・全粒製品］　全粒　黒大豆　国産　乾,inedible
0382,だいず　［納豆類］　五斗納豆,rare
0400,つるあずき　全粒　乾,inedible
0402,ひよこまめ　全粒　乾,inedible
0410,りょくとう　全粒　乾,inedible
0412,レンズまめ　全粒　乾,inedible
0414,アーモンド　乾,inedible
0436,しい　生,rare
0456,らっかせい　大粒種　乾,inedible
0456,らっかせい　大粒種　乾,inedible
0458,らっかせい　小粒種　乾,inedible
0584,ずいき　干しずいき　乾,inedible
0955,きはだ　実　乾,rare
1066,しいたけ　乾しいたけ　乾,inedible
1103,あまのり　ほしのり,rare
1107,いわのり　素干し,rare
1117,（こんぶ類）　まこんぶ　素干し　乾,inedible
1136,ひじき　ほしひじき　鉄釜　乾,inedible
1149,わかめ　乾燥わかめ　板わかめ,rare
1151,わかめ　カットわかめ　乾,inedible
1224,＜魚類＞　（いわし類）　たたみいわし,rare
1286,＜魚類＞　キャビア　塩蔵品,rare
1316,＜魚類＞　（さけ・ます類）　しろさけ　めふん,rare
1361,＜魚類＞　（さめ類）　ふかひれ,rare
1451,＜魚類＞　ぼら　からすみ,rare
1484,＜魚類＞　やつめうなぎ　干しやつめ,rare
1571,＜いか・たこ類＞　（いか類）　ほたるいか　くん製,rare
1869,＜鳥肉類＞　がちょう　フォアグラ　ゆで,rare
2016,（植物油脂類）　パーム核油,rare
2216,＜チューインガム類＞　板ガム,inedible
2218,＜チューインガム類＞　風船ガム,inedible
2257,＜茶類＞　（緑茶類）　玉露　茶,inedible
2259,＜茶類＞　（緑茶類）　抹茶　茶,inedible
2260,＜茶類＞　（緑茶類）　せん茶　茶,inedible
2262-1,＜茶類＞　（緑茶類）　番茶　茶,inedible
2263-1,＜茶類＞　（緑茶類）　ほうじ茶　茶,inedible
2267,＜茶類＞　（発酵茶類）　紅茶　茶,inedible