category,food_id,id,name,caffeine_g,caffeine,note
15,15088,2183,＜デザート菓子類＞　ゼリー　コーヒー,0.1,100,"別名：コーヒーゼリー
ゼラチンゼリー
ゼリー部分のみ
カフェイン： 0.1 g、タンニン：0.2g"
15,15137,2211,＜チョコレート類＞　アーモンドチョコレート,0,0,"部分割合： チョコレート 27、アーモンド 15
テオブロミン： 0.1 g、カフェイン： 0 g、ポリフェノール： 0.5 g "
15,15114,2212,＜チョコレート類＞　カバーリングチョコレート,0,0,"別名： エンローバーチョコレート
ビスケット等をチョコレートで被覆したもの
部分割合： チョコレート 3、ビスケット 2
テオブロミン： 0.1 g、カフェイン： Tr、ポリフェノール： 0.4 g "
15,15186,2212-1,＜チョコレート類＞　スイートチョコレート,0.1,100,"テオブロミン： 0.5 g、カフェイン： 0.1g、ポリフェノール： 1.4 g
食物繊維：AOAC2011.25法"
15,15187,2212-2,＜チョコレート類＞　スイートチョコレート　カカオ増量,0.1,100,"テオブロミン： 0.8 g、カフェイン： 0.1g、ポリフェノール： 2.2 g
食物繊維：AOAC2011.25法"
15,15116,2214,＜チョコレート類＞　ミルクチョコレート,0,0,テオブロミン： 0.2 g、カフェイン： Tr、ポリフェノール： 0.7 g
16,16033,2257,＜茶類＞　（緑茶類）　玉露　茶,3.5,3500,カフェイン： 3.5 g、タンニン： 10.0 g
16,16034,2258,＜茶類＞　（緑茶類）　玉露　浸出液,0.16,160,"浸出法： 茶 10 g/60 °C 60 mL、2.5分
カフェイン： 0.16 g、タンニン： 0.23 g"
16,16035,2259,＜茶類＞　（緑茶類）　抹茶　茶,3.2,3200,"粉末製品
(100 g：182mL、100 mL：55g)
カフェイン： 3.2 g、タンニン： 10.0 g、硝酸イオン： Tr"
16,16036,2260,＜茶類＞　（緑茶類）　せん茶　茶,2.3,2300,カフェイン： 2.3 g、タンニン： 13.0 g
16,16037,2261,＜茶類＞　（緑茶類）　せん茶　浸出液,0.02,20,"浸出法： 茶 10 g/90 °C 430 mL、1分
カフェイン： 0.02 g、タンニン： 0.07 g"
16,16038,2262,＜茶類＞　（緑茶類）　かまいり茶　浸出液,0.01,10,"浸出法： 茶 10 g/90 °C 430 mL、1分
カフェイン： 0.01 g、タンニン： 0.05 g"
16,16062,2262-1,＜茶類＞　（緑茶類）　番茶　茶,1.9,1900,"カフェイン： 1.9 g、タンニン： 11.3g
食物繊維：AOAC2011.25法"
16,16039,2263,＜茶類＞　（緑茶類）　番茶　浸出液,0.01,10,"浸出法： 茶 15 g/90 °C 650 mL、0.5分
カフェイン： 0.01 g、タンニン： 0.03 g"
16,16063,2263-1,＜茶類＞　（緑茶類）　ほうじ茶　茶,1.5,1500,"カフェイン： 1.5g、タンニン： 9.3g
食物繊維：AOAC2011.25法"
16,16040,2264,＜茶類＞　（緑茶類）　ほうじ茶　浸出液,0.02,20,"浸出法： 茶 15 g/90 °C 650 mL、0.5分
カフェイン： 0.02g、タンニン： 0.04g"
16,16041,2265,＜茶類＞　（緑茶類）　玄米茶　浸出液,0.01,10,"浸出法： 茶 15 g/90 °C 650 mL、0.5分
カフェイン： 0.01 g、タンニン： 0.01 g"
16,16042,2266,＜茶類＞　（発酵茶類）　ウーロン茶　浸出液,0.02,20,"浸出法： 茶 15 g/90 °C 650 mL、0.5分
カフェイン： 0.02 g、タンニン： 0.03 g"
16,16043,2267,＜茶類＞　（発酵茶類）　紅茶　茶,2.9,2900,カフェイン： 2.9 g、タンニン： 11.0 g
16,16044,2268,＜茶類＞　（発酵茶類）　紅茶　浸出液,0.03,30,"浸出法： 茶 5 g/熱湯 360 mL、1.5分～4分
カフェイン： 0.03 g、タンニン： 0.10 g"
16,16045,2269,＜コーヒー・ココア類＞　コーヒー　浸出液,0.06,60,"浸出法： コーヒー粉末 10 g/熱湯150 mL
カフェイン： 0.06 g、タンニン： 0.25 g"
16,16046,2270,＜コーヒー・ココア類＞　コーヒー　インスタントコーヒー,4,4000,"顆粒製品
カフェイン： 4.0 g、タンニン： 12.0 g"
16,16064,2270-1,＜コーヒー・ココア類＞　コーヒー　缶コーヒー　無糖,0.1,100,"別名： 缶コーヒー
試料： 缶製品
カフェイン： 0.1g、タンニン： 0.1g"
16,16048,2272,＜コーヒー・ココア類＞　ココア　ピュアココア,0.2,200,"別名： 純ココア
粉末製品
(100 g：222mL、100 mL：45g)
テオブロミン： 1.7 g、カフェイン： 0.2 g、ポリフェノール： 4.1 g"
16,16049,2273,＜コーヒー・ココア類＞　ココア　ミルクココア,0,0,"別名： インスタントココア、調整ココア
粉末製品
テオブロミン： 0.3 g、カフェイン： Tr、ポリフェノール： 0.9 g　　"