Site Name,Latitude,Longitude,"DateBP 
(uncal) ± SD","Average date cal BP 
(INTCAL 09)",Economy,Retained?
Abingdon,51.7,-1.3,"5060±13 
0",5818,F,
Abka,21.8,31.2,"8260±40 
0",9282,HG,
Abri de la Coma Francheze,42.8,2.9,5180±60,5939,F,
Abri de la Poujade,44.1,3.2,"6990±12 
0",7822,ME,TRUE
Abri de Pendimoun,44.9,5.7,6416±58,7344,ME,
Abri de Saint Mitre,44.9,5.7,"6700±13 
0",7569,un,TRUE
Abri des Usclades,44,3.3,5550±70,6350,"HG/M 
E",
Abri-du-Capitaine,43.8,6.2,"6050±15 
0",6923,ME,
Abrigo de Costalena,41.2,0.3,"6420±25 
0",7268,ME,TRUE
Abrigo de Verdelpino,40.1,-2.3,"7950±15 
0",8830,un,TRUE
Abu Darbein,17.7,34,"8640±12 
0",9708,HG,TRUE
Abu Tabari S02/1,17.5,28.5,4855±50,5584,ME,TRUE
Abu Tabari S02/28,17.5,28.5,4110±30,4652,ME,
Abu Tabari S02/52,17.5,28.5,4760±30,5506,ME,
Åby,58.7,16.2,4665±60,5408,ME,
Acconia,38.8,16.3,6710±80,7573,F,
Achilleion,39.3,22.4,7550±60,8352,F,
Ado-Tymovo IV,51.1,142.1,7035±40,7874,HG,
Adrara Bous X,20.4,9,9130±65,10321,HG,TRUE
Agios Petros,39.3,24,6400±80,7325,F,
"Aïn Naga, Algeria",34.4,3.5,"7500±22 
0",8328,HG,TRUE
Ain Rahub,32.6,35.9,7480±90,8279,F,
"Ak-Tanga, Tadjikistan",39.6,68.8,"5950±38 
0",6802,ME,TRUE
Akali,58.4,27.2,"6255±10 
0",7163,HG,TRUE
Alexandria Cemetary,50.4,35.8,"5470±35 
0",6296,HG,
Ali Kosh,32.3,47.1,"7820±19 
0",8707,F,TRUE
Almazinka,46,135.8,7449±39,8266,HG,TRUE
Almonda Cave,39.5,-8.6,6445±32,7367,ME,
"Am Hochrain, Mold",48.7,15.7,"5990±16 
0",6855,F,
"Amekni, Tamanrasset",22.9,5.3,8050±80,8918,HG,
"Amguyema, Madagan Oblast",67.3,178,"6665±11 
0",7542,HG,TRUE
Amnya 1,63.7,67.3,6900±90,7750,HG,TRUE
Amsa-dong,37.5,127.5,6136±76,7035,HG,TRUE
Andreevskoe Ozero,57,65.9,9140±60,10322,HG,TRUE
"Anebis, Area 2",17.9,34,"8230±12 
0",9204,HG,
"Anebis, Area 3",17.9,34,"7910±14 
0",8783,HG,
"Anebis, Area 4",17.9,34,8090±60,9005,HG,
Ankkapurha,60.7,26.8,6060±60,6923,HG,TRUE
Anza,41.7,22,"7206±15 
6",8039,F,TRUE
Apa,6.4,2.8,2670±90,2777,ME,TRUE
Apatin,45.7,19,7062±38,7893,ME,
Araguina-Sennola,41.4,9.2,6540±99,7442,ME,
Arakhlo I,41.5,44.7,7350±70,8160,F,TRUE
"Ardcrony, Co Tipperary",52.9,-8.2,4675±35,5409,F/ME,
Argissa Magoula,39.6,22.5,7500±90,8297,F,
"Arma dell' Aquila, Savona",44.1,8,6240±90,7136,F,
Arma di Nasino,44.1,8.1,6376±47,7316,F,
Armeau,48.1,3.4,6260±65,7170,F,
Asagi Pinar,41.7,27.2,6781±39,7630,F,TRUE
Asaviec 4,54.3,27.1,5860±50,6670,HG,TRUE
Ascott-under-Wychwood,51.9,-0.4,4890±37,5626,F,
Auvernier-Port,47,6.9,5075±57,5812,F,
Babshin,48.5,26.6,6200±39,7092,ME,
Bagor,25.4,74.4,"5620±12 
5",6435,ME,TRUE
Baile Herculane,44.1,22.4,"7320±12 
0",8148,F,TRUE
Balbridie,57.1,-2.4,5160±70,5913,F,
"Balfarg Riding School, Fife",56.2,-3.2,5170±90,5931,F,
Balise d'Amélie,45.5,-0.9,"5910±15 
0",6754,ME,
Balloy les Reaudins,44.4,3.2,6180±90,7071,F,
Banhalli,13.7,77.2,3890±70,4315,F,TRUE
Banjica,44.5,19.1,5710±90,6510,F,
"Barnhouse, Orkney",59,-3.2,4445±20,5085,ME,
Barsova,61.3,73.3,"7500±20 
0",8312,HG,TRUE
Barsova Gora II,61.3,73.2,"7450±15 
0",8256,HG,
Basi,41.8,8.8,"7700±15 
0",8543,ME,TRUE
Battonya-Basaraga,46.9,20.8,6580±60,7484,ME,
Baume Bourbon,44.9,4.6,"6050±12 
0",6911,ME,
Baume d'Oullins,44.3,4.5,"6630±11 
0",7513,ME,
Baume de Montclus,44.3,4.4,"6220±10 
0",7120,ME,
Bavans,47.5,6.7,7130±70,7952,un,TRUE
Baz’kov Ostrov,48.4,29.8,7228±33,8050,ME,
Bebensee,53.9,10.3,5680±60,6473,HG,
Beeston Castle,53.1,-2.7,5140±90,5889,F,
Bel'kachi I,60.1,133.1,5970±70,6810,HG,TRUE
Beregovaya-2,58.1,58.7,7325±40,8115,HG,TRUE
Berendeevo IIa,56.6,39,7270±80,8087,HG,TRUE
Berezki I,52.9,59.5,"7459±10 
9",8260,HG,TRUE
Berezovaya,60.4,44.2,"8700±30 
0",9785,HG,TRUE
Berloga,53,106.1,"6525±10 
0",7428,HG,
Bernashëvka,48.6,27.5,"6880±10 
0",7730,ME,
Bevilacqua,38.9,16.6,6430±90,7345,F,
Bialcz Stary,52.3,16.7,5860±50,6674,F,TRUE
Biggar Common,55.6,-3.6,5216±41,5987,F,TRUE
"Billerbeck, Niedersachsen",52.9,10.9,"6010±10 
0",6864,un,
Bir Kiseiba E-79-8,22.7,29.9,"9820±38 
0",11351,HG,TRUE
Bissiang,3,10,2770±70,2886,F,TRUE
Blackpatch,54,-9,"5090±13 
0",5844,F,
Boberg,53.5,10.1,5310±31,6086,HG,
"Boghead, Fochabers",57.6,-3.1,4912±53,5651,F,
Boguszewo XLI,53.4,19,6428±77,7352,F,TRUE
Bokuma,-0.7,21,2260±60,2248,ME,TRUE
Border Cave,-27.1,32,2010±50,1968,HG,
Boso-Njafo,0,18.3,2270±70,2266,ME,TRUE
"Bosumpra, Ghana",6.7,0.7,"5219±10 
0",6001,HG,TRUE
"Bou-Sfer, Algeria",35.7,-0.8,"6680±30 
0",7572,ME,TRUE
Bouqras,35.1,40.5,7840±60,8662,F,TRUE
Breisberg,49.4,6.3,"5990±20 
0",6854,F,TRUE
Briar Hill,52.2,-0.9,"5440±11 
0",6215,F,TRUE
Bridgemere,51.2,-2.4,4630±50,5381,F,
Bringsjord,48.2,7.1,2470±80,2544,un,
Brinzeni VIII,48.1,27.3,5360±65,6132,F,
"Broken Cavern, Devon",50.5,-3.7,4949±50,5689,F,
Bronneger,52.9,6.8,5777±52,6573,ME,
Broome Heath,52.5,1.5,"5424±11 
7",6187,F,
Brovst,57.1,9.5,5467±38,6262,HG,
Bruchenbrücken,50.3,8.8,"6390±10 
0",7304,F,TRUE
Brunn am Gebirge,48.1,16.3,6660±75,7534,F,TRUE
Brzesc Kujawski III,52.6,18.6,6178±42,7079,F,
Bukarkurari,11.7,13.5,3205±43,3428,F,
Buraco da Pala,41.5,-7.3,5860±29,6684,ME,TRUE
Burntwood Farm R6,51.1,-1.3,4750±50,5479,F,
Bury Hill,50.9,-0.6,4625±57,5350,F,
Burzahom,34.2,74.9,"4205±11 
5",4737,F,
Byblos,34.2,35.6,7360±70,8182,F,
Bylany VII,50,15.3,6370±40,7312,F,TRUE
Bystrinskij Kul'egan 66,61.4,72.8,"6150±21 
0",7035,HG,
Cabranosa,37,-9,6930±60,7769,ME,TRUE
Caisteal-nan-Gillean II,56,-6.2,"5150±38 
0",5925,F,TRUE
Caldeirão Cave,39.6,-8.5,"6870±21 
0",7733,ME,TRUE
"Cannon Hill, Brey",52.9,0.7,"5270±11 
0",6058,F,
Cap Ragnon,43.4,5.3,7833±98,8680,ME,TRUE
Capel Eithin,53.2,-4.3,5454±62,6242,F,TRUE
Carn Brea,50.2,-5.3,4999±64,5746,F,TRUE
"Carnanbane, Tyrone",51.7,-5.2,4978±61,5730,F,
Carrowmore,54.3,-8.5,5750±85,6553,un,TRUE
"Carwood Hill, Biggar",55.6,-3.6,"4990±11 
0",5743,F,
Casabianca/ Casterragio,42.1,9.5,"6670±13 
0",7549,ME,
Casalmoro,45.3,10.4,5810±60,6610,F,
Cashelkeelty I,51.7,-9.8,"5845±10 
0",6653,un,TRUE
Cassa di Risparmio,45.7,13.8,5610±50,6385,F,
Çatalhöyük East,37.7,32.8,8091±50,9021,F,TRUE
Caucade,43.7,7.2,"6660±25 
0",7540,F,
Cavdar,42.6,24.1,7208±52,8035,F,TRUE
Cave Gua Harriman,5.2,100.1,"3450±15 
0",3743,un,TRUE
Caverna delle Arene Candide,44.5,8.5,6871±67,7716,F,TRUE
Çayönü,38.2,39.7,8053±42,8929,F,TRUE
Cendres Cave,38.7,0.5,6730±80,7589,ME,TRUE
Ceron,44,5.1,5990±75,6837,ME,
Chabarovice,50.7,14,"6400±12 
0",7305,F,TRUE
Chagylly-Depe,36.9,60.5,"7000±10 
0",7826,F,TRUE
Chahai,42,121.6,6925±95,7771,F,
Chalagantepe,40.1,47.4,6580±60,7485,F,
Chapaievka,47.3,35.5,4850±81,5579,ME,
"Chapelfield, Cowie",56.1,-3.9,4823±62,5541,F,
"Char-I-mar, Afganistan",36.1,66.9,7134±74,7955,F,TRUE
Chashkinskoe Ozero VIII,59,56.2,6310±90,7224,HG,TRUE
Chateauneuf-Les-Martigues/La Font des Pigeons (?),43.4,5.2,"6900±10 
0",7750,ME,
Chatelliers du Viel,46.4,-0.9,"5200±11 
0",5975,un,
Chavan’ga,66.1,37.1,5560±80,6367,HG,TRUE
Chaves Cave,42.2,3.5,6770±70,7623,ME,
Chazelle,44.3,4.2,"5660±11 
0",6470,ME,
Chekalino 4,53.9,50.9,7250±60,8079,HG,TRUE
Chemin de Naviot,48.4,6.2,6279±55,7196,F,
Cherhill,51.4,-0.1,4715±90,5439,F,
Cherkaska,50.9,39.8,5710±60,6511,ME,TRUE
Chernaya Maza,56.1,45.1,4250±45,4789,HG,TRUE
Chernaya Rechka I,61.8,36,"6200±10 
0",7095,HG,
Chernigovka I,44.3,132.5,"10770±7 
5",12678,HG,TRUE
Chernoe 3,61.4,73.2,7090±50,7913,HG,
Chernushka I,57.7,48.8,6870±70,7717,HG,
Ches-Tuyi-Yag,64.2,60.9,6455±40,7366,HG,TRUE
Chichery,47.9,3.5,"5600±12 
0",6405,F,
Choga Mami,33.8,45.6,"6846±18 
2",7713,F,TRUE
Choinovtyi-1,64.4,50,5750±70,6553,HG,TRUE
Chopanimando,25.6,81.9,"4540±11 
0",5186,F,TRUE
Clarke's Shelter,-28.9,29.2,2160±50,2177,HG,
Clava,57.5,-4.1,"4983±13 
0",5740,F,
Cocorba,14.7,-0.5,3722±33,4064,HG,TRUE
Cojoux,47.8,-2,5577±69,6369,F,
Collingham Shelter,-29.5,29.8,1880±45,2082,HG,
Columnata,35.5,1.6,"5850±10 
0",6663,ME,TRUE
Coma Franceze,42.8,2.9,5200±70,5980,un,
Combe Grèze,44.2,3.1,6420±18,7291,F,
Combe Obscure,44.5,4.1,"6400±16 
0",7284,ME,
Coneybury Henge(Stonehenge Environs),51.2,-1.8,"5050±10 
0",5793,F,
Coppa Nevigata,41.5,15.8,"7780±32 
0",8692,F,TRUE
Corhampton,51,-1.2,4790±70,5505,F,
Corycian Cave,38.5,22.5,6380±90,7309,F,
Coufin II,45.1,5.4,"5260±12 
0",6034,F,
Courthezon (Le Baratin),44.1,5.9,"6600±14 
0",7482,F,
Coygan Camp,51.8,-4.5,5000±90,5755,F,TRUE
Cueva Chicade Santiago,39,-6.9,"7890±18 
0",8771,F,TRUE
Cueva de El Toro,37,-3.6,"6540±11 
0",7437,un,
Cueva de Nerja,36.8,-3.9,"7142±11 
5",7974,un,TRUE
Cuiry-les-Chaudardes,49.4,3.8,5964±43,6800,F,
Cuka,41.3,21.5,"7680±16 
0",8522,un,TRUE
"Cyclops Cave, Yura",39.4,24.2,6837±40,7666,F/ME,TRUE
Da-But,20,105.7,6095±60,6976,ME,TRUE
Dabki 9,54.4,16.3,6070±40,6934,ME,TRUE
Daboya,9.5,-1.4,"4235±15 
0",4792,ME,TRUE
Dachstein 74 E4 RU (Vonesch Quarry),48.6,7.5,"6280±32 
0",7123,F,
Daktariske 5,55.8,22.9,"5530±11 
0",6318,ME,
Dalladies,57.2,-2.2,"5190±19 
0",5958,F,TRUE
Damishliyya,36.5,39,"7920±11 
0",8777,F,
Darion-Colia,50.7,5.2,"6240±10 
0",7131,F,
"Deer's Den, Aberdeenshire",57.2,-2.4,4918±28,5640,ME,
"Delebo 2, Chad",17.2,21.3,"7050±21 
2",7912,HG,TRUE
Dereivka settlement,48.9,33.7,"6240±10 
0",7140,F,
Derriere le Village,49.4,4,6067±95,6944,F,
Derriere les Pres,49.1,-0.1,"5560±14 
0",6350,F,TRUE
Deszk-Olajkut,46.2,20.3,6443±46,7359,F,
Diaotonghuan,28.7,117.2,14650±2,17859,HG,
"Dibeira West (DIW-50), Sudan",21.8,31.4,"5600±20 
0",6402,HG,
Divostin,44,26.9,7004±37,7847,F,TRUE
"Djebel Cave, Turkmenistan",39.6,54.2,6129±76,7021,HG,TRUE
Dneboh-Hrada,50.5,15,"6300±30 
0",7149,F,
Dobriniöye,41.8,23.6,6650±60,7526,F,
Dombé,2.9,9.9,2540±60,2600,un,
Donja Branjevina,45.5,19.1,7155±50,7981,F,
Dooey's Cairn,55,-6.4,5150±90,5905,F,TRUE
Dresden-Nickern,51,13.8,5902±58,6727,F,
Driel Shelter,-28.7,29.3,1775±40,2208,HG,TRUE
Dudestii Vechi,44,20.5,6861±53,7701,ME,TRUE
Dümmer,52.5,13.2,5565±85,6364,F,TRUE
Dutovo 1,63.8,56.7,6680±50,7548,HG,TRUE
"Eaton Heath, Norfolk",52.6,1.3,6256±59,7165,F,TRUE
Ebbsfleet 1,51.4,0.3,"4660±15 
0",5340,F,
Egolzwil 4,47.2,8,5101±54,5834,F/ME,
Eilsleben,52.2,11.2,6925±60,7767,F,TRUE
Eitzum,52.2,10.8,"6480±21 
0",7350,F,
El Biod/El Bayed,28.5,6,"7300±20 
0",8120,un,TRUE
El Damer,17.6,34,"8010±12 
0",8885,HG,
El Kowm 1,35.2,38.8,7400±45,8240,F,TRUE
El Retamar,36.8,-2.3,6780±80,7636,ME,TRUE
El'gen,53.9,108.1,6790±85,7649,HG,TRUE
Elateia,38.6,22.7,7378±48,8202,F,
Eleneva Cave,56.6,92.1,7330±35,8121,HG,TRUE
Elinelund,55.6,12.9,"5320±21 
0",6093,ME,
Elshanka 11,53.9,51.1,6820±90,7679,HG,
Elsloo,51.9,5.8,"6510±10 
0",7412,F,TRUE
En’ty 1A,61.8,51.3,5625±80,6427,HG,
Endröd No. 39,46.9,20.8,"6840±11 
0",7702,ME,
Enkapune Ya Muto,-1.3,36.3,4860±70,5593,ME,
Epona II,-0.1,11.2,2850±90,2993,F,
Erbaba,37.8,31.7,"7677±11 
1",8499,F,
"Erg Tichodaïne, Algeria",26.4,6.8,"6870±15 
0",7734,F,TRUE
Ertebølle,56.8,9.2,5624±45,6400,HG,TRUE
Etang David,47.4,4.5,"5600±12 
0",6406,F,TRUE
Eura (Kolmhaara),61.1,22.2,5155±60,5899,HG,
Evminka-1,50.9,30.8,4864±51,5597,F,
Ezi-Ukwu Ukpa I,5.9,7.9,"4885±14 
0",5620,un,TRUE
Fadar,15,-0.7,3576±40,3880,F,
Fågelbacken,59.7,16.6,5070±80,5811,ME,
Fagnigola,45.9,12.7,6570±75,7478,F,TRUE
Fairyhill,55.9,13.4,5710±70,6507,un,
Falborz II,52.6,18.8,"5850±17 
0",6675,F,
Falborz IV,52.6,18.8,"6050±17 
0",6921,F,
Fendmeilen-Vordereld,47.3,8.6,5415±60,6197,F,TRUE
Fengate,52.6,-0.2,4960±64,5711,F,
Fiorano Modenese,44.5,10.8,6555±57,7464,F,
Firlus,53.3,18.6,"6020±10 
0",6875,HG,
Flynderhage,56,10.2,"5230±10 
0",6018,HG,
Foeni-Salas,46.5,20.9,7080±50,7903,F,
Font Juvenal,43.3,2.4,6235±85,7132,ME,
Fontbregoua,43.6,6.2,"6700±10 
0",7565,ME,TRUE
Fornace Cappuccini,44.4,12.2,6320±60,7251,F,
Fozzigiaren (Libya),24.8,10.4,"8072±10 
0",8968,HG,
Franchthi Cave,37.4,23.1,7704±81,8496,F,TRUE
Frankenau,47.5,16.5,"5660±10 
0",6461,F,
Frare Cave,47.5,16.5,"5887±12 
0",6718,ME,
Friedberg,50.3,8.8,"6120±10 
0",7010,F,
Frigouras,44.1,6,"5450±10 
0",6221,F,
Frotorp,58.1,12.8,5085±75,5815,F/ME,TRUE
Fukui Cave,33,129.1,"12499±2 
87",14705,HG,TRUE
"Fukuotun, Chinmun Island",24.7,118.5,"6310±37 
0",7170,HG,TRUE
"Gabrong, Chad",21.2,17.5,"8560±12 
0",9588,HG,TRUE
Gajiganna D,12.3,13.2,3360±80,3605,F,TRUE
Gamble's Cave,-0.6,36.1,"8540±18 
0",9578,HG,TRUE
"Gao Lagoon, Ghana",5.7,0,5219±80,6010,un,TRUE
Gard III,47.7,31.2,6865±50,7704,ME,
Gasya,48.8,135.6,"12960±1 
20",15643,HG,TRUE
Geleen,52,5.8,6370±60,7310,F,
Gerlingen,48.8,9.1,"6390±16 
0",7279,F,
Ghalogai,35.2,72.4,4218±41,4745,F,TRUE
Gird Ali Agha,36.5,43.8,6927±63,7766,F,
"Gobero, Mali",17,9.6,8470±40,9490,HG,TRUE
Goddelau,49.8,8.5,6315±23,7233,F,
Golubjai-1,55,23,"7060±27 
0",7928,un,TRUE
Goncharka I,49.5,134.9,"12500±6 
0",14642,HG,
Gondenans-les-Monthy,47.4,6.5,"5490±14 
0",6264,F,
Gorely Les,53.6,103.2,"8444±12 
4",9418,HG,TRUE
Gornja Tuzla,44.5,18.8,6640±75,7517,F,
Gorodsk,50.4,29.2,4551±35,5195,F,TRUE
Gospodska pecina,44,16.4,7010±90,7833,F,TRUE
Göttingen,51.5,9.9,"6530±18 
0",7417,un,TRUE
Grande,48.9,2.3,5260±70,6054,F,
Grapčeva,43.2,16.8,7030±60,7859,ME,TRUE
Gravholmen,69.2,29.3,6092±45,6970,HG,
Grayan-et-l'Hopital (La Léde du Gurp),45.4,-1.1,6100±65,6992,F,
Grebenyukuv yar,48.8,30.5,6116±32,7017,F,
Greifensee,47.4,8.7,5140±35,5873,F,
Grenovka,48.1,30.5,5833±33,6645,F/ME,
Gromatukha,51.8,128.8,"13269±6 
5",16208,HG,TRUE
Gropbakkeengen,70.1,28.6,"4750±15 
0",5450,HG,
Grotta Arma dello Stefanin,44.1,8,6610±60,7503,F/ME,
Grotta dei Ciclami,45.7,13.8,6300±60,7226,F/ME,
"Grotta del Cavallo, Trapani, Sicillia",38,12.5,5990±80,6833,F/ME,
"Grotta del Mitreo, Trieste",45.8,13.6,5770±38,6568,F/ME,
"Grotta del Santuario della Madonna, Praia a Mare",40.9,15.8,7555±85,8360,F,TRUE
Grotta del'Orso,44,12.9,6080±50,6957,F/ME,
Grotta dell'Edera,45.6,14.9,6500±78,7411,F/ME,
Grotta di Madonna,39.9,15.8,7555±85,8354,F,TRUE
Grotta di Monte Venere,44.3,11.3,"6940±10 
0",7782,F/ME,
Grotta di Porto Badisco,40.1,18.5,5850±55,6659,F/ME,
Grotta Pollera,44.1,10.1,6950±10,7796,F,TRUE
Grotte Bourbon,44,4.5,"6180±18 
0",7064,ME,
Grotte de Camprafaud,43.4,2.9,"6480±13 
0",7382,ME,
Grotte de l'Aigle,44.1,4.6,6138±77,7039,ME,
Grotte de la Baume de Gonvillars,47.6,6.6,"5380±25 
0",6166,F,
Grotte de la Vieille Eglise,45.9,6.3,5295±52,6081,F/ME,
